S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
35,C AFRI REP,"1,197.33",0.0009,"2,405.90",0.0018,700.9,0.0004,963.1,0.0004,"1,090.02",0.0004,547.19,0.0002,384.69,0.0001,544.08,0.0002,253.99,0.0001,"6,367.75",0.0021,"1,414.18",0.0004,397.06,0.0001,168.61,0.0001,139.03,0,"2,118.70",0.0004,194.62,0,,"1,180.45",0.000475
36,CAMBODIA,"14,390.41",0.0105,"63,985.51",0.0469,"3,637.69",0.0022,"3,463.66",0.0015,"6,469.52",0.0024,"7,729.41",0.0028,"10,978.57",0.004,"35,973.42",0.0144,"24,213.58",0.0094,"35,970.85",0.012,"29,827.59",0.0083,"33,060.57",0.0098,"29,138.91",0.01,"70,907.52",0.0155,"1,18,243.00",0.0206,"1,81,010.65",0.0324,,"41,812.55",0.01266875
37,CAMEROON,"11,29,675.53",0.8219,"9,95,411.34",0.7299,"62,759.24",0.0373,"2,46,180.50",0.105,"2,41,352.92",0.0904,"1,62,409.49",0.0598,"4,54,151.41",0.1659,"3,61,947.40",0.1453,"2,41,123.52",0.0935,"1,37,331.13",0.0458,"2,35,575.89",0.0655,"4,79,379.09",0.1426,"1,48,600.28",0.051,"6,06,364.14",0.1326,"4,30,656.36",0.0749,"6,53,596.20",0.1169,,"4,11,657.15",0.17989375
38,CANADA,159.85,0.0001,54.63,0,"9,24,330.56",0.5491,"14,11,266.24",0.6017,"15,27,698.70",0.5724,"19,02,983.03",0.7008,"22,96,607.16",0.8391,"27,79,277.24",1.116,"27,72,611.24",1.0756,"30,47,906.85",1.0156,"24,65,576.68",0.6859,"27,42,345.93",0.8159,"19,95,930.67",0.6845,"23,35,021.65",0.5106,"33,49,661.07",0.5826,"37,52,073.75",0.6709,,"20,81,469.08",0.6513
39,CANARY IS,58.67,0,692.36,0.0005,950.91,0.0006,"1,617.64",0.0007,"1,857.14",0.0007,"1,883.94",0.0007,"1,828.58",0.0007,"1,805.56",0.0007,"1,276.72",0.0005,"1,816.12",0.0006,"2,032.26",0.0006,"1,443.44",0.0004,"1,506.76",0.0005,"3,445.98",0.0008,"3,549.84",0.0006,"3,843.04",0.0007,,"1,850.56",0.00058125
40,CAPE VERDE IS,"1,883.47",0.0014,"3,323.91",0.0024,11.75,0,3.9,0,0.11,0,7.69,0,0.23,0,1805.56,  ,12.71,0,"4,166.00",0.0014,165.42,0,"1,030.28",0.0003,"63,204.70",0.0217,69.3,0,0.73,0,0.35,0,,"4,730.38",0.001813333
41,CAYMAN IS,1883.47,  ,0.08,0,258.22,0.0002,"19,983.80",0.0085,"84,524.18",0.0317,"6,784.39",0.0025,"38,954.85",0.0142,"2,07,730.58",0.0834,"1,13,839.58",0.0442,"96,153.19",0.032,"3,35,532.33",0.0933,"1,91,444.39",0.057,"36,743.17",0.0126,"2,230.05",0.0005,"4,928.69",0.0009,"3,019.74",0.0005,,"71,500.67",0.025433333
42,CHAD,"6,66,443.07",0.4849,"5,24,722.57",0.3848,258.22,0.0002,"10,28,955.78",0.4387,"16,21,374.25",0.6074,"15,22,960.20",0.5609,"18,80,589.92",0.6871,"12,75,942.54",0.5124,"8,22,920.98",0.3192,"13,47,763.42",0.4491,"8,64,230.97",0.2404,"8,31,272.84",0.2473,"4,97,917.28",0.1708,"10,18,234.82",0.2227,"11,51,973.87",0.2004,"12,53,506.08",0.2241,,"10,19,316.68",0.3594
43,CHANNEL IS,"1,47,60,559.50",10.7394,"1,46,04,861.20",10.7095,"7,05,638.27",0.4192,"2,65,46,561.90",11.3183,"2,84,38,458.52",10.6545,"3,09,23,495.99",11.388,"3,69,56,536.01",13.5021,"4,04,05,084.15",16.225,"4,11,10,329.33",15.9486,"4,92,23,616.54",16.4022,"4,92,07,928.34",13.6891,"4,61,52,476.82",13.732,"4,82,49,579.90",16.5467,"7,05,12,313.21",15.42,"7,90,93,162.64",13.7558,"8,42,46,728.16",15.0632,,"4,13,21,083.16",12.8446
44,CHILE,260.81,0.0002,"3,155.04",0.0023,"1,98,07,907.58",11.7661,0.84,0,41.82,0,40.46,0,50.32,0,0.28,0,11.8,0,428.99,0.0001,49207928.34,  ,10.67,0,1.47,0,24.93,0,79093162.64,13.7558,73,15.0632,,"92,57,068.69",2.705846667
