S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
120,LIBYA,"2,62,067.29",0.1907,"34,953.87",0.0256,100.72,0.0001,"26,734.14",0.0114,"24,931.43",0.0093,"27,674.19",0.0102,"25,634.26",0.0094,"4,611.68",0.0019,"80,247.20",0.0311,"34,285.35",0.0114,"93,145.08",0.0259,"84,903.38",0.0253,"59,374.23",0.0204,888.34,0.0002,"1,113.48",0.0002,"24,243.60",0.0043,,"49,056.77",0.0235875
121,LIECHTENSTEIN,"11,413.46",0.0083,"16,036.65",0.0118,"58,029.39",0.0345,407.06,0.0002,"26,256.26",0.0098,"1,634.54",0.0006,"1,414.04",0.0005,"93,267.53",0.0375,"27,785.13",0.0108,"5,350.36",0.0018,"4,370.13",0.0012,"22,510.42",0.0067,"5,211.28",0.0018,"1,07,656.98",0.0235,"1,03,033.50",0.0179,"29,479.83",0.0053,,"32,116.04",0.0107625
122,LITHUANIA,113.09,0.0001,173.09,0.0001,"16,720.17",0.0099,"7,362.60",0.0031,817,0.0003,"12,093.12",0.0045,"5,573.21",0.002,"42,232.53",0.017,"59,88,145.01",2.3231,"30,065.42",0.01,"16,894.54",0.0047,"69,16,662.95",2.0579,"61,79,121.70",2.1191,"80,248.91",0.0175,"34,642.85",0.006,301.17,0.0001,,"12,08,197.96",0.4109625
123,LUXEMBOURG,320.23,0.0002,"12,621.66",0.0093,88.79,0.0001,"39,994.48",0.0171,"12,524.77",0.0047,"31,717.09",0.0117,"58,461.35",0.0214,"59,37,316.99",2.3842,"6,149.62",0.0024,"1,07,906.04",0.036,"2,05,084.01",0.0571,"4,247.81",0.0013,"18,063.14",0.0062,"92,63,064.76",2.0257,"1,02,18,523.43",1.7772,493.63,0.0001,,"16,19,786.11",0.39716875
124,MACAO,"8,538.00",0.0062,"9,073.28",0.0067,462.01,0.0003,"10,928.02",0.0047,"39,399.91",0.0148,"9,367.69",0.0034,"22,756.81",0.0083,"2,814.06",0.0011,"66,210.48",0.0257,"10,608.78",0.0035,"16,053.42",0.0045,"26,790.85",0.008,"10,460.40",0.0036,"51,652.36",0.0113,"4,04,220.84",0.0703,"15,858.35",0.0028,,"44,074.70",0.01095
125,MACEDONIA,"3,355.31",0.0024,"48,534.00",0.0356,"14,581.00",0.0087,"45,38,502.77",1.935,"23,383.19",0.0088,"55,90,211.37",2.0587,"67,91,883.78",2.4814,"1,60,648.08",0.0645,"15,007.00",0.0058,"58,08,128.86",1.9354,"75,49,167.12",2.1001,"87,142.23",0.0259,"17,505.05",0.006,"17,073.36",0.0037,"15,875.05",0.0028,"60,467.86",0.0108,,"19,21,341.63",0.66785
126,MADAGASCAR,"32,59,156.48",2.3713,"24,49,403.25",1.7961,"8,972.57",0.0053,"8,742.37",0.0037,"54,19,876.33",2.0306,"2,391.02",0.0009,"2,648.42",0.001,"17,373.87",0.007,"5,864.04",0.0023,"3,655.13",0.0012,"14,720.80",0.0041,"2,572.02",0.0008,"1,232.14",0.0004,"17,014.60",0.0037,"40,244.45",0.007,"1,309.45",0.0002,,"7,03,448.56",0.389725
127,MALAWI,"1,793.35",0.0013,"1,707.57",0.0013,"29,74,590.44",1.7669,"2,982.04",0.0013,"3,422.17",0.0013,"42,572.45",0.0157,"47,576.44",0.0174,270.67,0.0001,"7,347.42",0.0029,"73,565.63",0.0245,"12,656.78",0.0035,204.16,0.0001,608.42,0.0002,892.38,0.0002,702.93,0.0001,"25,68,683.96",0.4593,,"3,58,723.55",0.14350625
128,MALAYSIA,"4,303.65",0.0031,"1,834.55",0.0013,"14,543.27",0.0086,"20,132.20",0.0086,"16,077.82",0.006,"20,960.83",0.0077,"17,367.60",0.0063,270.67,  ,"12,305.93",0.0048,"10,293.18",0.0034,"30,797.23",0.0086,"7,585.18",0.0023,"4,062.29",0.0014,357.91,0.0001,987.72,0.0002,1.09,0,,"10,117.57",0.00416
129,MALDIVES,"2,332.29",0.0017,"5,695.97",0.0042,"1,537.99",0.0009,"4,910.29",0.0021,"23,130.90",0.0087,"4,040.09",0.0015,7.85,0,"12,165.31",0.0049,"19,77,611.94",0.7672,70.7,0,359.41,0.0001,"19,781.51",0.0059,"31,492.94",0.0108,"8,980.90",0.002,"1,90,861.24",0.0332,"3,512.84",0.0006,,"1,42,905.76",0.0527375
130,MALI,62.15,0,3.49,0,"16,398.08",0.0097,4910.29,  ,477.06,0.0002,74.11,0,58.39,0,"13,317.06",0.0053,"7,853.07",0.003,70.7,  ,568.75,0.0002,254.5,0.0001,237.22,0.0001,"53,594.08",0.0117,"73,588.93",0.0128,525.47,0.0001,,"10,749.58",0.003085714
131,MALTA,185.33,0.0001,3.49,  ,618.13,0.0004,"2,182.17",0.0009,23.78,0,"4,437.79",0.0016,"26,473.53",0.0097,"14,90,511.97",0.5985,747.11,0.0003,"3,509.59",0.0012,"10,961.34",0.003,"30,44,137.03",0.9057,"21,09,470.67",0.7234,857.58,0.0002,577.24,0.0001,848.29,0.0002,,"4,18,471.57",0.149686667
132,MARSHALL ISLAND,"2,039.52",0.0015,759.34,0.0006,6.44,0,"18,141.52",0.0077,"6,127.96",0.0023,"12,463.61",0.0046,"12,935.74",0.0047,"3,232.77",0.0013,"1,335.02",0.0005,"13,356.05",0.0045,"49,784.66",0.0138,177.74,0.0001,734.25,0.0003,"31,65,819.41",0.6923,"31,06,898.16",0.5403,"1,440.62",0.0003,,"3,99,703.30",0.079675
133,MARTINIQUE,"6,557.86",0.0048,"5,155.10",0.0038,893.77,0.0005,"12,41,351.05",0.5293,"15,517.22",0.0058,"22,35,302.49",0.8232,"20,71,679.82",0.7569,995.77,0.0004,36.15,0,1.16,0,130.68,0,"42,707.80",0.0127,5.39,0,67.11,0,"3,235.41",0.0006,"11,63,986.52",0.2081,,"4,24,226.46",0.14663125
134,MAURITANIA,"7,99,801.38",0.5819,"4,90,842.94",0.3599,"7,512.67",0.0045,213.86,0.0001,"21,87,342.42",0.8195,60.71,0,2071679.82,  ,"2,695.55",0.0011,36.15,  ,"25,32,958.98",0.844,"38,99,878.85",1.0849,920.58,0.0003,316.16,0.0001,273.67,0.0001,819.66,0.0001,"20,03,105.39",0.3582,,"8,74,903.67",0.289621429
135,MAURITIUS,0.21,0,490842.94,  ,"5,26,882.57",0.313,"1,298.31",0.0006,0.19,0,323.6,0.0001,876.43,0.0003,31.78,0,"5,32,201.46",0.2065,"1,011.20",0.0003,271.08,0.0001,116.23,0,299.94,0.0001,406.51,0.0001,745.91,0.0001,"8,91,433.65",0.1594,,"1,52,921.38",0.045373333
136,MEXICO,"3,044.07",0.0022,506.48,0.0004,55.57,0,"7,483.04",0.0032,373.55,0.0001,"1,321.27",0.0005,"1,041.59",0.0004,0.03,0,"3,66,235.55",0.1421,687.6,0.0002,190.25,0.0001,"6,72,491.47",0.2001,"10,66,440.99",0.3657,257.71,0.0001,78.15,0,0.47,0,,"1,32,512.99",0.04469375
137,MICRONESIA,159.29,0.0001,469.75,0.0003,640.17,0.0004,7483.04,  ,"1,759.94",0.0007,"5,058.82",0.0019,"2,629.87",0.001,"7,05,110.98",0.2831,"7,15,611.79",0.2776,"1,109.96",0.0004,711.19,0.0002,"5,91,140.42",0.1759,"4,68,085.13",0.1605,257.71,  ,0.3,0,"2,99,042.44",0.0535,,"1,74,954.43",0.068257143
138,MOLDOVA,"8,358.64",0.0061,601.3,0.0004,900.09,0.0005,"8,00,377.87",0.3412,"5,327.18",0.002,5.57,0,718.47,0.0003,"2,37,529.91",0.0954,19.67,0,6.44,0,91.38,0,"3,91,051.69",0.1164,"3,91,592.83",0.1343,"16,76,101.74",0.3665,"20,54,132.88",0.3573,2.25,0,,"3,47,926.12",0.088775
139,MONACO,5.81,0,0.85,0,1.22,0,"48,270.38",0.0206,"7,12,677.65",0.267,1.72,0,2.97,0,"6,37,838.72",0.2561,"33,768.21",0.0131,0.01,0,38.39,0,0.28,0,218.68,0.0001,"14,04,887.44",0.3072,"20,29,693.10",0.353,"6,86,783.58",0.1228,,"3,47,136.81",0.08374375
140,MONGOLIA,"4,29,263.55",0.3123,"4,08,294.01",0.2994,"3,84,221.35",0.2282,"6,61,401.33",0.282,"1,58,875.13",0.0595,"5,38,786.44",0.1984,"5,72,474.35",0.2092,150.78,0.0001,23.89,0,"5,02,532.51",0.1675,"9,26,714.39",0.2578,"20,205.22",0.006,"22,364.29",0.0077,"7,48,529.90",0.1637,"7,69,664.10",0.1339,"41,16,514.18",0.736,,"6,41,250.96",0.19135625
141,MONTSERRAT,"14,824.63",0.0108,"32,045.39",0.0235,"46,756.03",0.0278,661401.33,  ,"7,70,118.21",0.2885,"1,78,082.53",0.0656,"1,99,846.54",0.073,"6,788.87",0.0027,"2,98,506.50",0.1158,"6,00,864.64",0.2002,"7,67,704.56",0.2136,47.92,0,39.77,0,39.96,0,181.79,0,"16,144.39",0.0029,,"2,24,587.07",0.068293333
142,MOROCCO,"4,24,076.82",0.3085,"6,10,794.46",0.4479,"4,65,115.40",0.2763,"4,809.20",0.0021,"4,993.42",0.0019,"8,39,148.23",0.309,"7,47,653.51",0.2732,"3,835.44",0.0015,"12,72,947.67",0.4938,"4,12,038.81",0.1373,"3,67,425.18",0.1022,"5,04,496.71",0.1501,"4,97,537.21",0.1706,"33,981.69",0.0074,"30,652.26",0.0053,"20,710.57",0.0037,,"3,90,013.54",0.168175
143,MOZAMBIQUE,32.24,0,82.61,0.0001,29.44,0,"7,232.80",0.0031,"11,573.81",0.0043,98.56,0,747653.51,  ,"3,06,935.08",0.1233,"44,574.08",0.0173,112.03,0,14.43,0,"23,99,484.32",0.7139,"24,54,356.81",0.8417,"17,374.95",0.0038,21.35,0,"2,77,502.03",0.0496,,"3,91,692.38",0.11714
144,MYANMAR,"1,596.75",0.0012,"20,206.01",0.0148,"17,011.44",0.0101,"2,63,933.16",0.1125,"2,95,806.57",0.1108,"7,809.39",0.0029,"20,884.47",0.0076,"12,16,809.81",0.4886,"16,109.17",0.0062,"40,133.89",0.0134,"37,528.12",0.0104,"16,055.91",0.0048,"3,016.17",0.001,"10,20,811.55",0.2232,"6,75,660.43",0.1175,"39,804.24",0.0071,,"2,30,823.57",0.07075625
145,N. MARIANA IS.,"12,396.21",0.009,"7,419.64",0.0054,"1,892.45",0.0011,"12,70,374.44",0.5416,"12,94,749.57",0.4851,"3,005.15",0.0011,"6,205.19",0.0023,"39,503.19",0.0159,"3,38,524.58",0.1313,8.24,0,109.12,0,164.29,0,"1,340.35",0.0005,"33,38,595.24",0.7301,"47,87,723.51",0.8327,"1,15,348.34",0.0206,,"7,01,084.97",0.17354375
146,NAMIBIA,"2,25,567.56",0.1641,"2,14,646.32",0.1574,"2,33,895.01",0.1389,"13,068.22",0.0056,"8,658.89",0.0032,"3,20,429.69",0.118,"3,91,549.76",0.1431,"33,135.52",0.0133,"1,761.38",0.0007,"2,82,456.55",0.0941,"3,55,843.04",0.099,"3,69,381.19",0.1099,"2,83,203.56",0.0971,"11,993.77",0.0026,"14,716.06",0.0026,"35,04,869.97",0.6267,,"3,91,573.53",0.11101875
147,NAURU RP,"8,66,962.05",0.6308,"10,04,854.60",0.7368,"8,42,167.95",0.5003,"5,574.06",0.0024,"14,779.49",0.0055,"18,92,137.58",0.6968,"17,09,541.98",0.6246,"3,58,454.71",0.1439,19.82,0,"16,19,891.13",0.5398,"28,50,016.04",0.7928,"2,531.14",0.0008,"4,588.22",0.0016,"6,100.87",0.0013,"5,896.61",0.001,110.45,0,,"6,98,976.67",0.2924
148,NEPAL,639.92,0.0005,460.64,0.0003,"1,572.64",0.0009,"3,95,230.75",0.1685,"3,79,980.43",0.1424,"2,631.05",0.001,"6,893.06",0.0025,"2,513.01",0.001,"51,37,453.41",1.9931,"5,268.89",0.0018,"6,760.10",0.0019,644.81,0.0002,"3,086.64",0.0011,"2,79,008.16",0.061,"3,83,763.13",0.0667,"6,57,779.37",0.1176,,"4,53,980.38",0.16003125
149,NETHERLAND,"4,754.70",0.0035,"1,458.32",0.0011,"3,079.67",0.0018,463.07,0.0002,444.71,0.0002,"16,559.58",0.0061,"12,950.81",0.0047,212.24,0.0001,5137453.41,  ,"6,221.48",0.0021,154.8,0,"72,42,829.40",2.155,"41,99,459.73",1.4402,"7,085.59",0.0015,"8,620.93",0.0015,"37,44,450.23",0.6695,,"12,74,137.42",0.285833333
150,NETHERLANDANTIL,"1,95,096.15",0.1419,"2,36,380.72",0.1733,"2,85,380.15",0.1695,"37,074.89",0.0158,"38,684.47",0.0145,"3,70,075.74",0.1363,"3,60,837.48",0.1318,"64,92,261.36",2.607,7.51,0,"4,15,177.02",0.1383,"4,40,309.35",0.1225,315.17,0.0001,180.38,0.0001,"12,056.22",0.0026,"97,112.65",0.0169,"2,382.43",0.0004,,"5,61,458.23",0.2294375
151,NEUTRAL ZONE,290.43,0.0002,164.5,0.0001,413.51,0.0002,"70,10,393.87",2.9889,"65,62,221.03",2.4585,"1,622.43",0.0006,"1,337.95",0.0005,1.92,0,"3,81,645.65",0.1481,"2,682.24",0.0009,"2,508.84",0.0007,"4,48,091.24",0.1333,"4,96,548.21",0.1703,"76,82,529.55",1.6801,"53,40,770.72",0.9289,"1,706.79",0.0003,,"17,45,808.06",0.531975
152,NEW CALEDONIA,74.33,0.0001,120.06,0.0001,"4,900.34",0.0029,1.83,0,3.93,0,335.04,0.0001,340.71,0.0001,46.86,0,"8,65,749.48",0.3359,"13,044.38",0.0043,443.74,0.0001,"26,08,567.58",0.7761,"22,78,517.69",0.7814,7682529.55,  ,1.37,0,"3,07,150.84",0.0549,,"8,60,114.23",0.1304
153,NEW ZEALAND,"39,99,547.98",2.91,"34,37,710.95",2.5208,"49,00,514.87",2.911,64.14,0,294.59,0.0001,"85,76,722.43",3.1585,"83,43,300.11",3.0482,"3,85,797.54",0.1549,"3,04,877.05",0.1183,"61,29,330.96",2.0424,"76,31,562.14",2.123,"9,764.83",0.0029,"1,768.51",0.0006,259.5,0.0001,168.57,0,"3,90,057.50",0.0697,,"27,56,983.85",1.19128125
154,NICARAGUA,3999547.98,  ,28.48,0,0.31,0,"4,18,985.72",0.1786,"5,14,019.78",0.1926,11.91,0,15.46,0,"10,95,663.85",0.44,2.41,0,3.72,0,7631562.14,  ,2.46,0,0.58,0,"15,58,625.32",0.3408,"7,52,917.95",0.1309,"25,280.52",0.0045,,"9,99,791.79",0.091957143
155,NIGER,392.55,0.0003,380.54,0.0003,73,0,"15,80,693.40",0.6739,"10,93,145.52",0.4095,119.15,0,76.83,0,"2,88,450.27",0.1158,304.44,0.0001,300.52,0.0001,101.36,0,"53,454.86",0.0159,"24,596.88",0.0084,"51,12,872.99",1.1181,"63,29,133.44",1.1008,"25,79,578.40",0.4612,,"10,66,479.63",0.244025
156,NIGERIA,"5,12,341.29",0.3728,"4,31,102.58",0.3161,"4,33,873.85",0.2577,3.58,0,1093145.52,0.4095,"4,54,010.97",0.1672,"6,14,774.93",0.2246,"2,448.88",0.001,"1,35,252.55",0.0525,"5,42,521.15",0.1808,"2,56,868.01",0.0715,"39,419.66",0.0117,"92,840.60",0.0318,"1,891.07",0.0004,"15,776.86",0.0027,"11,87,665.73",0.2124,,"3,63,371.08",0.14454375
157,NIUE IS,"5,46,437.92",0.3976,"16,44,314.08",1.2057,"18,18,433.40",1.0802,"1,90,030.19",0.081,"2,94,370.34",0.1103,"17,82,769.80",0.6565,"10,64,756.17",0.389,2448.88,  ,"72,549.85",0.0281,"27,50,004.48",0.9164,"19,20,820.90",0.5344,"17,948.18",0.0053,"11,570.47",0.004,"2,16,099.30",0.0473,"2,27,807.80",0.0396,"12,45,327.65",0.2227,,"8,62,855.59",0.381206667
158,NORFOLK IS,"1,66,838.70",0.1214,"1,30,461.77",0.0957,"1,51,395.49",0.0899,4.25,0,294370.34,0.1103,"2,60,656.88",0.096,"3,04,066.81",0.1111,"47,327.01",0.019,"1,04,160.09",0.0404,"3,15,030.13",0.105,"3,47,648.12",0.0967,"11,14,119.10",0.3315,"11,21,705.99",0.3847,"2,66,766.17",0.0583,"5,15,446.22",0.0896,"1,47,641.19",0.0264,,"3,30,477.39",0.111
159,NORWAY,4.48,0,5.91,0,3.87,0,"26,531.17",0.0113,294370.34,0.1103,2.3,0,5.33,0,"1,16,105.39",0.0466,"7,22,711.91",0.2804,504.07,0.0002,"2,171.70",0.0006,"3,70,609.41",0.1103,"4,23,691.04",0.1453,"12,151.17",0.0027,"15,939.51",0.0028,"1,19,621.32",0.0214,,"1,31,526.81",0.04574375
160,OMAN,4.37,0,"13,501.29",0.0099,3.87,0,"73,368.57",0.0313,"59,674.14",0.0224,"13,029.88",0.0048,"26,271.29",0.0096,"73,630.31",0.0296,"3,31,787.08",0.1287,"27,918.99",0.0093,"26,648.48",0.0074,13.34,0,5.61,0,"20,16,632.70",0.441,"17,95,638.77",0.3123,"1,02,54,470.99",1.8335,,"9,19,537.48",0.1774875
161,PACIFIC IS,"64,680.01",0.0471,"1,72,962.14",0.1268,"86,252.07",0.0512,"99,677.09",0.0425,"57,059.16",0.0214,"25,147.64",0.0093,"18,584.38",0.0068,"5,40,676.35",0.2171,1.9,0,"1,26,615.80",0.0422,"62,619.50",0.0174,"5,99,892.28",0.1785,"5,22,190.27",0.1791,"5,43,274.35",0.1188,"7,73,701.71",0.1346,"29,283.64",0.0052,,"2,32,663.64",0.074875
162,PAKISTAN IR,"1,03,976.04",0.0756,"47,716.27",0.035,"98,538.61",0.0585,"5,312.09",0.0023,"4,654.10",0.0017,"1,08,384.14",0.0399,"96,054.55",0.0351,"3,53,162.56",0.1418,"4,63,715.70",0.1799,"1,07,740.88",0.0359,"14,648.07",0.0041,"1,00,334.34",0.0299,"84,377.20",0.0289,543274.35,  ,2.45,0,"9,93,810.81",0.1777,,"1,95,356.39",0.05642
163,PALAU,263.91,0.0002,"2,441.99",0.0018,"2,464.39",0.0015,"2,58,883.30",0.1104,"3,05,080.52",0.1143,"3,278.37",0.0012,"54,041.19",0.0197,3.73,0,"94,641.03",0.0367,"15,33,152.22",0.5109,"16,69,262.71",0.4644,"37,091.42",0.011,"21,613.25",0.0074,"8,39,631.37",0.1836,"11,00,552.03",0.1914,"5,08,64,350.64",9.0945,,"35,49,172.00",0.6718125
164,PANAMA C Z,"1,21,693.97",0.0885,"64,143.40",0.047,"85,276.97",0.0507,"2,12,544.32",0.0906,"2,74,358.42",0.1028,"3,17,161.76",0.1168,"3,61,652.62",0.1321,"3,73,145.41",0.1498,"33,475.22",0.013,"4,92,758.30",0.1642,"4,06,252.90",0.113,"68,71,693.07",2.0446,"58,66,266.17",2.0118,"1,22,559.67",0.0268,"1,57,390.33",0.0274,"9,731.56",0.0017,,"9,85,631.51",0.3238
165,PANAMA REPUBLIC,"1,16,542.91",0.0848,"1,49,329.11",0.1095,"1,95,046.60",0.1159,"2,98,741.97",0.1274,"4,69,494.51",0.1759,"2,37,220.43",0.0874,"2,58,508.64",0.0944,"67,050.41",0.0269,"51,27,596.43",1.9892,144.74,0,22.02,0,"13,107.38",0.0039,"13,619.59",0.0047,"41,024.68",0.009,"96,082.76",0.0167,"18,286.10",0.0033,,"4,43,863.64",0.1780625
166,PAPUA N GNA,0.01,0,149329.11,  ,"1,76,455.88",0.1048,"1,46,020.38",0.0623,"2,06,058.09",0.0772,"3,78,002.92",0.1392,67.09,0,"32,918.99",0.0132,"9,326.78",0.0036,"4,94,349.98",0.1647,"5,54,047.55",0.1541,"1,84,799.25",0.055,"1,43,323.91",0.0492,"98,45,979.53",2.1532,"1,35,01,779.59",2.3482,55.49,0,,"16,13,907.16",0.35498
167,PARAGUAY,"1,21,491.09",0.0884,"1,82,784.10",0.134,"38,933.10",0.0231,"16,715.00",0.0071,"12,630.82",0.0047,"2,07,532.65",0.0764,"3,89,075.63",0.1421,"58,91,199.10",2.3657,"2,12,794.93",0.0826,"1,22,512.65",0.0408,"92,603.12",0.0258,"50,29,106.72",1.4963,"40,63,240.58",1.3934,"20,637.12",0.0045,"23,154.53",0.004,18.3,0,,"10,26,526.84",0.36805625
168,PERU,"25,510.32",0.0186,"33,587.32",0.0246,"13,194.70",0.0078,"61,86,383.05",2.6376,"85,45,778.37",3.2017,"12,530.83",0.0046,"88,483.34",0.0323,"12,261.66",0.0049,"37,18,033.65",1.4424,"48,262.67",0.0161,"27,218.69",0.0076,"2,899.47",0.0009,"4,932.78",0.0017,"1,96,100.13",0.0429,"4,57,006.81",0.0795,"2,63,35,441.85",4.7087,,"28,56,726.60",0.76449375
169,PHILIPPINES,"4,721.84",0.0034,"6,366.70",0.0047,"31,03,583.21",1.8436,"13,462.70",0.0057,"15,091.66",0.0057,"95,00,539.18",3.4987,"15,910.27",0.0058,"2,02,422.04",0.0813,790.15,0.0003,"54,21,053.90",1.8064,"75,16,661.83",2.0911,"2,131.45",0.0006,337.43,0.0001,"73,65,491.49",1.6107,"3,74,00,330.59",6.5046,"5,24,755.61",0.0938,,"44,43,353.13",1.09728125
170,PITCAIRN IS.,"15,89,469.10",1.1565,"22,00,996.34",1.6139,"8,352.99",0.005,"2,17,458.14",0.0927,"1,69,303.89",0.0634,"13,674.82",0.005,"89,06,411.86",3.254,"29,98,646.79",1.2041,"4,201.97",0.0016,"11,632.91",0.0039,"12,718.99",0.0035,106.4,0,61.36,0,"5,616.05",0.0012,"33,003.61",0.0057,"16,138.33",0.0029,,"10,11,737.10",0.4633375
171,POLAND,"11,354.13",0.0083,"7,337.81",0.0054,"1,08,139.80",0.0642,"23,07,542.15",0.9838,"23,02,095.04",0.8625,"2,26,820.24",0.0835,"13,800.86",0.005,867.93,0.0003,259.47,0.0001,"2,65,578.21",0.0885,"2,19,737.15",0.0611,106.4,  ,59.92,0,285.67,0.0001,"12,941.86",0.0023,"7,198.46",0.0013,,"3,42,757.82",0.144426667
172,PORTUGAL,"1,52,425.37",0.1109,"1,07,337.24",0.0787,"16,41,666.08",0.9752,72.4,0,130.54,0,"23,56,986.30",0.868,"1,81,203.60",0.0662,"1,643.76",0.0007,13.89,0,"55,28,709.05",1.8423,"40,81,679.07",1.1355,"1,90,24,522.86",5.6605,"1,19,75,862.07",4.107,55.12,0,52.35,0,"25,402.63",0.0045,,"28,17,360.15",0.92809375
173,PUERTO RICO,"19,78,742.31",1.4397,"16,92,388.55",1.241,12.25,0,78.38,0,97.41,0,155.15,0.0001,"25,92,365.75",0.9471,336.86,0.0001,"1,33,94,575.06",5.1964,"3,445.40",0.0011,"4,659.96",0.0013,"3,31,631.28",0.0987,"2,97,539.99",0.102,0,0,3.42,0,"1,75,56,132.42",3.139,,"23,65,760.26",0.76040625
174,QATAR,"1,080.42",0.0008,120.19,0.0001,55.7,0,10.1,0,0.36,0,10.69,0,742.09,0.0003,1.85,0,"2,11,786.10",0.0822,164.96,0.0001,"1,935.26",0.0005,"8,103.08",0.0024,"5,425.14",0.0019,"2,54,67,767.01",5.5694,"3,37,57,186.91",5.871,0.64,0,,"37,15,899.41",0.72054375
175,REUNION,9.36,0,26.45,0,51.02,0,"1,53,10,994.21",6.5279,"1,84,68,480.00",6.9192,386.49,0.0001,719.84,0.0003,"1,32,57,997.96",5.3238,"18,259.25",0.0071,416.38,0.0001,151.1,0,"3,325.30",0.001,"2,704.48",0.0009,"5,19,304.52",0.1136,"10,90,803.84",0.1897,"55,976.00",0.01,,"30,45,600.39",1.19335625
176,ROMANIA,27.18,0,23.95,0,"92,85,490.58",5.5157,"39,209.04",0.0167,215.49,0.0001,386.49,  ,201.39,0.0001,"1,72,677.43",0.0693,621.67,0.0002,416.38,  ,4.32,0,"17,349.49",0.0052,"6,478.38",0.0022,"8,244.99",0.0018,"10,966.77",0.0019,"2,55,170.29",0.0456,,"6,12,342.74",0.4042
177,RUSSIA,"89,74,703.51",6.5297,"80,66,428.36",5.915,"94,029.70",0.0559,"1,247.04",0.0005,"1,305.33",0.0005,"2,20,51,549.28",8.1208,30.39,0,"14,448.19",0.0058,"8,202.56",0.0032,"1,42,24,074.41",4.7397,"1,99,39,490.29",5.547,"1,04,39,410.04",3.1061,"98,21,958.01",3.3683,"2,921.11",0.0006,"7,149.22",0.0012,"5,081.54",0.0009,,"58,53,251.81",2.3372
178,RWANDA,"99,452.94",0.0724,"1,12,593.74",0.0826,"4,222.35",0.0025,"2,579.47",0.0011,"3,157.53",0.0012,"95,373.36",0.0351,"1,71,22,086.51",6.2556,438.43,0.0002,"47,54,169.45",1.8444,"3,64,878.16",0.1216,"4,52,503.21",0.1259,"38,763.66",0.0115,"26,337.01",0.009,"12,625.89",0.0028,"39,956.43",0.0069,"23,385.59",0.0042,,"14,47,032.73",0.5360625
179,SAHARWI A.DM RP,536.35,0.0004,765,0.0006,"3,040.76",0.0018,"39,70,847.55",1.693,"40,76,395.09",1.5272,"2,012.72",0.0007,"1,26,985.91",0.0464,"10,775.66",0.0043,"45,956.30",0.0178,"15,529.62",0.0052,"15,093.43",0.0042,"1,76,444.39",0.0525,"2,01,409.62",0.0691,"1,41,57,361.56",3.096,"1,89,82,824.92",3.3015,"87,29,406.91",1.5608,,"31,57,211.61",0.71134375
180,SAMOA,"3,588.12",0.0026,"1,966.51",0.0014,"32,54,576.75",1.9333,"42,283.53",0.018,"34,438.10",0.0129,581.28,0.0002,"14,490.92",0.0053,"47,73,489.37",1.9168,"68,185.97",0.0265,882.5,0.0003,"3,669.51",0.001,"27,477.78",0.0082,"24,922.98",0.0085,"75,893.59",0.0166,"56,906.13",0.0099,132.72,0,,"5,23,967.86",0.24759375
181,SAO TOME,"34,56,141.62",2.5146,"30,62,330.81",2.2455,"40,001.37",0.0238,"75,654.38",0.0323,"63,906.41",0.0239,"3,379.20",0.0012,714.54,0.0003,"42,282.70",0.017,"36,353.77",0.0141,"15,572.45",0.0052,"8,197.40",0.0023,"10,542.46",0.0031,"4,238.23",0.0015,"2,26,019.98",0.0494,"2,39,829.66",0.0417,"20,33,273.98",0.3635,,"5,82,402.44",0.3337125
182,SAUDI ARAB,"20,913.92",0.0152,"19,070.39",0.014,"41,995.47",0.0249,"10,772.66",0.0046,"8,289.78",0.0031,"41,06,346.94",1.5122,"14,447.86",0.0053,"57,943.71",0.0233,"11,860.15",0.0046,"48,13,281.77",1.6039,"1,13,91,875.15",3.1691,"49,50,724.54",1.473,"55,76,627.21",1.9125,"19,379.33",0.0042,"26,712.72",0.0046,"11,80,458.72",0.2111,,"20,15,668.77",0.6241
183,SENEGAL,"34,414.52",0.025,"55,775.26",0.0409,18.58,0,"1,664.88",0.0007,"6,805.20",0.0025,"32,190.03",0.0119,"43,55,230.46",1.5912,"44,433.91",0.0178,"39,11,693.38",1.5175,"61,404.42",0.0205,"40,176.96",0.0112,"5,142.62",0.0015,"1,184.71",0.0004,"13,481.26",0.0029,"14,380.39",0.0025,43.56,0,,"5,36,127.51",0.20290625
184,SEYCHELLES,235.78,0.0002,551.4,0.0004,"4,181.59",0.0025,"52,44,595.25",2.2361,"48,31,962.81",1.8103,"71,394.52",0.0263,"84,553.82",0.0309,"10,064.53",0.004,117.53,0,"72,239.42",0.0241,"1,74,409.13",0.0485,"11,41,711.70",0.3397,"11,19,018.32",0.3838,"81,82,344.93",1.7894,"83,11,752.62",1.4456,90.47,0,,"18,28,076.49",0.5088625
