S.No.,Country,2008-2009,%Share,2009-2010,%Share2,2010-2011,%Share3,2011-2012,%Share4,2012-2013,%Share5,2013-2014,%Share6,2014-2015,%Share7,2015-2016,%Share8,2016-2017,%Share9,2017-2018,%Share10,2018-2019,%Share11,2019-2020,%Share12,2020-2021,%Share13,2021-2022,%Share14,2022-2023,%Share15,2023-2024,%Share16,2024-2025,%Share17,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,Sum of Exp,Sum of Imp,Diff of imp And Exp,Ave Imp per Country,Ave exp per Country,Ave Imp share ,Ave exp share
51,CONGO P REP,"96,329.64",0.1146,"93,001.51",0.11,19.15,0,"1,63,664.34",0.1116,"1,08,263.56",0.0662,"1,27,545.79",0.067,195.84,0.0001,33.24,0,"2,81,166.66",0.152,"3,29,774.15",0.1686,"3,14,651.64",0.1363,"2,94,060.46",0.1325,"84,385.09",0.0391,"1,09,968.20",0.0349,110.41,0,189.5,0.0001,"29,146.60",0.0466,"33,977.75",0.0247,"44,336.25",0.0325,36.77,0,"97,882.74",0.0417,"1,19,693.27",0.0448,"1,79,056.37",0.0659,"94,184.83",0.0344,"3,69,707.74",0.1485,"17,002.67",0.0066,"43,361.78",0.0144,"34,962.17",0.0097,"3,19,299.75",0.095,"2,35,214.51",0.0807,"44,193.63",0.0097,"95,467.14",0.0166,"48,096.14",0.0086,"20,32,505.78","17,76,473.51","2,56,032.27",104498.4418,112916.9878,0.037282353,0.065533333
52,COOK IS,60,0.0001,13.8,0,"27,946.51",0.0246,56.44,0,25.19,0,55.55,0,"58,645.14",0.0309,"88,389.52",0.0515,"83,111.48",0.0449,"1,08,704.13",0.0556,"1,07,434.84",0.0466,"1,04,320.49",0.047,"4,33,112.81",0.2006,"5,42,890.91",0.1725,"1,54,744.75",0.0427,"1,52,144.74",0.042,"1,36,150.47",0.2176,"1,45,197.24",0.1056,"1,42,477.24",0.1045,"43,596.26",0.0259,"2,25,893.57",0.0963,"2,10,488.80",0.0789,"5,845.90",0.0022,"3,21,569.28",0.1175,"23,564.02",0.0095,878.5,0.0003,"2,84,686.48",0.0949,"4,19,570.92",0.1167,"40,345.57",0.012,"31,549.48",0.0108,739.67,0.0002,"3,956.02",0.0007,"1,814.68",0.0003,"19,97,806.77","19,02,173.63","95,633.14",111892.5665,110989.265,0.045664706,0.054255556
53,COSTA RICA,"15,711.43",0.0187,"15,291.43",0.0181,"42,902.28",0.0377,"31,618.59",0.0216,"40,521.13",0.0248,"49,245.76",0.0259,"1,89,741.84",0.1001,"2,60,227.48",0.1516,"27,961.14",0.0151,"26,951.47",0.0138,"24,432.11",0.0106,"33,653.17",0.0152,"1,04,974.55",0.0486,"3,70,028.05",0.1176,"7,15,413.80",0.1975,"5,67,330.33",0.1568,"33,489.84",0.0535,"7,137.32",0.0052,"12,579.35",0.0092,"1,15,212.62",0.0684,"11,490.38",0.0049,"9,920.15",0.0037,"1,469.38",0.0005,"17,353.95",0.0063,877.3,0.0004,"44,483.01",0.0173,"20,648.25",0.0069,"26,846.77",0.0075,"2,522.21",0.0008,"51,444.87",0.0176,"55,589.71",0.0122,"94,038.46",0.0164,"34,824.37",0.0062,"25,49,494.40","5,06,438.10","20,43,056.30",29790.47647,141638.5778,0.010794118,0.057066667
54,COTE D' IVOIRE,"43,288.06",0.0515,"57,793.45",0.0684,"44,468.17",0.0391,"1,39,751.28",0.0953,"2,15,416.41",0.1318,"1,81,440.77",0.0952,"1,08,318.51",0.0571,"73,669.50",0.0429,27961.14,0.0151,0.09,0,"49,465.68",0.0214,"3,08,907.42",0.1392,"15,095.39",0.007,"19,720.13",0.0063,"2,68,759.08",0.0742,"1,93,147.99",0.0534,"1,325.47",0.0021,616.25,0.0004,501.87,0.0004,"13,001.56",0.0077,"1,888.32",0.0008,"2,159.65",0.0008,"12,183.26",0.0045,960.67,0.0004,"31,392.27",0.0126,"3,61,760.83",0.1403,"1,326.59",0.0004,"2,661.41",0.0007,"52,950.61",0.0158,"17,778.41",0.0061,"4,40,990.45",0.0964,"6,24,343.51",0.1086,"6,10,031.86",0.1091,"17,48,528.54","21,74,547.52","-4,26,018.98",127914.56,97140.47444,0.029705882,0.05
55,CROATIA,"39,161.66",0.0466,"42,375.39",0.0501,"11,627.08",0.0102,"54,953.24",0.0375,"72,678.15",0.0445,"84,231.20",0.0442,"22,827.66",0.012,"35,324.65",0.0206,"48,035.64",0.026,"64,629.26",0.033,"3,00,326.48",0.1301,"3,51,948.02",0.1585,"66,830.07",0.031,"1,04,771.39",0.0333,"64,742.17",0.0179,"33,288.91",0.0092,"12,125.06",0.0194,"68,127.22",0.0496,"6,672.31",0.0049,502.85,0.0003,"13,016.52",0.0055,"11,588.51",0.0043,"3,13,987.16",0.1156,"13,969.50",0.0051,"3,31,895.22",0.1333,"3,23,083.97",0.1253,"8,673.89",0.0029,"2,73,690.87",0.0761,"2,12,747.87",0.0633,"2,90,622.49",0.0997,"6,64,439.10",0.1453,"6,18,833.64",0.1076,"7,59,207.24",0.1357,"14,09,876.03","39,11,058.36","-25,01,182.33",230062.2565,78326.44611,0.063205882,0.040227778
56,CUBA,"17,075.91",0.0203,"10,781.08",0.0128,"19,731.40",0.0174,"17,407.18",0.0119,"19,452.52",0.0119,"21,483.60",0.0113,22827.66,0.012,5.01,0,"3,57,748.67",0.1934,"2,61,295.36",0.1336,"5,22,610.63",0.2265,"5,19,856.83",0.2342,"3,59,358.97",0.1664,"4,68,796.09",0.149,"65,837.48",0.0182,"78,584.59",0.0217,"2,45,091.80",0.3918,"2,18,371.15",0.1589,"2,65,889.52",0.195,"9,303.58",0.0055,"3,42,663.31",0.1461,"3,50,212.17",0.1312,"2,69,152.23",0.0991,"3,16,601.80",0.1157,"2,81,196.34",0.1129,"1,897.17",0.0007,"4,31,538.36",0.1438,"1,80,771.42",0.0503,"4,48,431.76",0.1334,"4,36,570.52",0.1497,"31,027.57",0.0068,"45,063.18",0.0078,"18,400.55",0.0033,"30,07,944.78","36,47,090.63","-6,39,145.85",214534.7429,167108.0433,0.085894118,0.090688889
57,CYPRUS,"1,14,200.89",0.1358,"22,192.93",0.0262,"98,190.70",0.0864,"27,275.09",0.0186,"29,990.76",0.0184,"37,524.13",0.0197,"31,253.73",0.0165,"39,062.01",0.0228,"4,64,709.55",0.2513,"5,05,271.24",0.2583,"5,54,923.56",0.2405,"2,23,390.43",0.1006,"5,58,182.22",0.2585,"7,04,095.00",0.2237,"9,43,900.13",0.2606,"11,51,136.50",0.3181,"1,22,292.53",0.1955,"2,18,073.47",0.1587,"2,82,876.68",0.2074,"3,07,923.80",0.1829,"2,93,219.65",0.125,"2,94,972.26",0.1105,"2,426.24",0.0009,"2,80,094.30",0.1023,793.38,0.0003,"4,51,477.44",0.1751,"3,64,067.88",0.1213,"3,75,277.20",0.1044,"13,769.32",0.0041,"14,901.46",0.0051,"4,84,245.73",0.1059,"2,91,080.57",0.0506,"4,72,624.76",0.0845,"56,27,591.40","41,47,824.14","14,79,767.26",243989.6553,312643.9667,0.090529412,0.136194444
58,CZECH REPUBLIC,"83,299.38",0.0991,"84,139.40",0.0995,"3,14,241.74",0.2764,"1,30,658.51",0.0891,"1,36,792.18",0.0837,"2,37,060.16",0.1244,"2,30,806.98",0.1217,"3,18,182.60",0.1854,"1,87,975.90",0.1016,"2,42,220.12",0.1238,"1,50,733.75",0.0653,"1,51,036.53",0.068,"2,57,017.72",0.119,"5,31,948.70",0.169,"7,30,921.44",0.2018,"7,08,924.86",0.1959,"1,73,314.62",0.277,"1,685.39",0.0012,564.31,0.0004,"2,15,368.79",0.1279,"1,032.84",0.0004,"2,811.38",0.0011,"7,584.00",0.0028,904.18,0.0003,"3,14,610.48",0.1263,524.49,0.0002,"3,508.90",0.0012,"11,004.01",0.0031,"2,54,877.02",0.0758,"1,88,089.43",0.0645,141.9,0,486.13,0.0001,414.12,0.0001,"46,69,274.59","10,03,607.37","36,65,667.22",59035.72765,259404.1439,0.023847059,0.133372222
59,DENMARK,"2,67,651.55",0.3183,"2,74,977.44",0.3252,"1,45,274.27",0.1278,"3,61,644.04",0.2467,"3,84,977.74",0.2356,"4,61,023.71",0.242,"4,42,504.35",0.2333,"4,51,489.34",0.263,"1,50,916.89",0.0816,"1,26,868.90",0.0648,902.21,0.0004,"1,530.25",0.0007,"1,54,574.53",0.0716,"2,31,129.08",0.0734,"9,64,245.67",0.2663,"9,47,592.84",0.2618,"53,634.82",0.0857,"4,763.87",0.0035,"4,476.22",0.0033,"1,093.92",0.0006,"3,184.58",0.0014,"5,901.94",0.0022,42.98,0,"1,80,321.98",0.0659,62.29,0,"2,38,436.18",0.0925,"4,17,233.01",0.139,"3,99,987.70",0.1113,174.96,0.0001,184.06,0.0001,"7,53,781.70",0.1648,"8,16,261.58",0.142,"6,58,474.41",0.1177,"54,20,937.63","34,84,381.38","19,36,556.25",204963.6106,301163.2017,0.049670588,0.161011111
60,DJIBOUTI,"1,60,806.39",0.1913,"1,25,780.53",0.1488,"37,697.56",0.0332,"2,29,461.69",0.1565,"2,23,755.33",0.1369,"1,84,398.49",0.0968,"1,45,294.12",0.0766,"1,33,357.64",0.0777,"1,646.47",0.0009,"1,359.50",0.0007,"2,07,885.15",0.0901,"1,79,121.22",0.0807,"1,375.26",0.0006,"2,088.00",0.0007,"2,64,187.37",0.0729,"2,87,231.65",0.0794,464.48,0.0007,291.4,0.0002,231.5,0.0002,"7,217.24",0.0043,132.84,0.0001,862.31,0.0003,"1,58,780.52",0.0585,62.7,0,"3,65,202.17",0.1466,"7,81,042.81",0.303,177.13,0.0001,222.24,0.0001,"2,55,549.59",0.076,"2,47,931.70",0.085,"26,23,628.39",0.5737,"15,66,833.99",0.2725,"10,15,887.27",0.1816,"21,85,910.85","70,24,053.80","-48,38,142.95",413179.6353,121439.4917,0.100129412,0.069138889
61,DOMINIC REP,"23,514.00",0.028,"26,050.62",0.0308,"1,126.29",0.001,"49,070.37",0.0335,"59,349.22",0.0363,"76,465.01",0.0401,"86,326.33",0.0455,"1,14,869.71",0.0669,"1,32,647.88",0.0717,"1,80,423.08",0.0922,"20,15,277.32",0.8733,"17,72,410.12",0.7984,"1,53,648.00",0.0712,"2,27,380.57",0.0723,"2,318.38",0.0006,"2,092.07",0.0006,"30,592.02",0.0489,"15,004.57",0.0109,"32,176.25",0.0236,153.85,0.0001,"21,670.25",0.0092,"4,70,824.03",0.1764,"14,39,114.11",0.53,"6,41,478.47",0.2344,"7,92,178.69",0.3181,"3,871.05",0.0015,"1,25,030.20",0.0417,"1,53,989.86",0.0428,"14,39,089.09",0.4282,"14,01,948.41",0.4808,"3,058.96",0.0007,"1,851.15",0.0003,"2,152.77",0.0004,"49,53,560.99","65,43,591.71","-15,90,030.72",384917.1594,275197.8328,0.135241176,0.128405556
62,DOMINICA,"1,197.18",0.0014,"1,410.01",0.0017,"55,276.38",0.0486,"1,358.64",0.0009,"1,310.76",0.0008,"1,476.50",0.0008,"1,551.62",0.0008,954.12,0.0006,"13,85,513.44",0.7492,"15,42,054.35",0.7882,"54,873.72",0.0238,"56,254.85",0.0253,"16,76,019.18",0.7763,"27,92,214.03",0.8873,"3,21,623.68",0.0888,"3,80,381.86",0.1051,"4,87,460.84",0.7792,"9,76,506.19",0.7105,"8,03,588.19",0.5893,"75,495.00",0.0448,"14,35,052.72",0.6118,"13,85,426.15",0.519,"4,811.83",0.0018,"10,64,543.80",0.3889,"4,016.46",0.0016,"5,35,255.58",0.2077,"8,33,268.83",0.2777,"11,69,816.17",0.3254,"2,267.15",0.0007,"2,840.22",0.001,"6,58,112.07",0.1439,"5,61,015.71",0.0976,"2,65,366.16",0.0474,"87,60,931.16","97,77,382.23","-10,16,451.07",575140.1312,486718.3978,0.233476471,0.237711111
63,ECUADOR,"58,350.32",0.0694,"42,398.20",0.0501,"9,02,643.27",0.7939,"1,12,362.37",0.0766,"1,43,393.38",0.0877,"1,76,068.25",0.0924,"1,37,504.62",0.0725,"1,00,006.38",0.0583,"40,505.80",0.0219,"44,780.31",0.0229,"8,392.19",0.0036,"7,771.00",0.0035,"62,113.66",0.0288,"1,20,683.60",0.0383,"33,12,344.29",0.9146,"29,15,687.98",0.8056,"19,817.26",0.0317,"2,665.85",0.0019,"2,545.60",0.0019,"6,15,785.56",0.3658,"3,961.80",0.0017,"4,718.83",0.0018,"1,86,861.36",0.0688,"6,304.36",0.0023,"3,01,162.32",0.1209,"24,223.59",0.0094,"5,823.11",0.0019,"2,943.64",0.0008,"6,85,782.18",0.204,"2,11,394.33",0.0725,91.63,0,2.15,0,"1,14,484.44",0.0205,"82,04,822.88","21,68,750.75","60,36,072.13",127573.5735,455823.4933,0.051423529,0.176211111
64,EGYPT A RP,"7,59,464.44",0.9033,"6,63,818.34",0.7851,"10,945.27",0.0096,"11,73,550.17",0.8005,"15,71,394.15",0.9615,"15,56,074.22",0.8168,"18,44,254.03",0.9725,"15,27,181.28",0.8898,"7,533.80",0.0041,"6,948.70",0.0036,"6,198.78",0.0027,"4,201.10",0.0019,"10,505.71",0.0049,"9,266.89",0.0029,"1,01,785.82",0.0281,"1,06,731.23",0.0295,"1,875.14",0.003,88.42,0.0001,"1,25,757.52",0.0922,"2,458.04",0.0015,"1,04,437.74",0.0445,"2,86,584.21",0.1074,"2,885.95",0.0011,"4,58,072.28",0.1674,"1,09,347.39",0.0439,"68,705.77",0.0267,"4,86,860.60",0.1622,"4,42,648.96",0.1231,0.04,0,0.71,0,"53,883.11",0.0118,"1,13,468.89",0.0197,"67,828.17",0.0121,"93,61,729.07","23,23,027.80","70,38,701.27",136648.6941,520096.0594,0.047864706,0.345544444
65,EL SALVADOR,"7,676.42",0.0091,"6,313.04",0.0075,"5,189.45",0.0046,"18,106.95",0.0124,"30,487.00",0.0187,"39,412.89",0.0207,"37,582.77",0.0198,"44,820.93",0.0261,"2,155.15",0.0012,"4,790.76",0.0024,"44,955.22",0.0195,"46,297.55",0.0209,"7,002.71",0.0032,"13,119.83",0.0042,"18,556.44",0.0051,"22,191.46",0.0061,"1,353.36",0.0022,"2,740.54",0.002,77.7,0.0001,55.83,0,"1,686.45",0.0007,"5,943.04",0.0022,"71,008.87",0.0262,"1,40,875.50",0.0515,"91,316.96",0.0367,"44,901.56",0.0174,"1,264.02",0.0004,0.49,0,"38,333.84",0.0114,"44,679.46",0.0153,"46,402.36",0.0101,"45,537.35",0.0079,984.78,0.0002,"3,50,011.93","5,35,808.75","-1,85,796.82",31518.16176,19445.10722,0.010711765,0.010205556
66,EQUTL GUINEA,"2,969.06",0.0035,"3,616.87",0.0043,"11,205.75",0.0099,"8,186.18",0.0056,"11,594.13",0.0071,"10,477.45",0.0055,"9,165.18",0.0048,"11,590.19",0.0068,"65,412.32",0.0354,"51,770.92",0.0265,"5,36,426.08",0.2324,"5,65,450.88",0.2547,"38,438.80",0.0178,"46,301.33",0.0147,"14,607.38",0.004,"8,324.20",0.0023,"14,779.50",0.0236,"7,138.32",0.0052,"15,805.44",0.0116,344.47,0.0002,"1,15,121.34",0.0491,"1,20,127.66",0.045,"16,960.66",0.0062,"72,012.34",0.0263,"39,876.89",0.016,44901.56,  ,"39,029.94",0.013,"75,530.67",0.021,"69,431.59",0.0207,"24,209.81",0.0083,46402.36,  ,65.57,0,"7,55,140.67",0.135,"14,10,316.22","14,42,099.29","-31,783.07",84829.37,78350.90111,0.02384,0.036605556
67,ERITREA,"7,354.63",0.0087,"13,599.65",0.0161,"24,135.97",0.0212,"15,376.32",0.0105,"10,379.70",0.0064,"10,045.44",0.0053,"8,589.90",0.0045,"4,220.18",0.0025,"5,18,646.71",0.2804,"4,40,939.97",0.2254,0.97,0,56.28,0,"5,06,976.48",0.2348,"5,07,683.30",0.1613,"56,760.09",0.0157,"64,037.89",0.0177,"68,635.19",0.1097,"5,127.45",0.0037,"8,814.35",0.0065,"20,313.87",0.0121,"13,865.92",0.0059,"20,930.30",0.0078,988.14,0.0004,"27,166.54",0.0099,"1,107.79",0.0004,4.7,0,"30,609.19",0.0102,"37,759.70",0.0105,22.23,0,24209.81,0.0083,365.86,0.0001,82.23,0,522.93,0.0001,"22,57,438.67","1,91,891.01","20,65,547.66",11287.70647,125413.2594,0.004464706,0.062233333
68,ESTONIA,"22,455.87",0.0267,"13,642.83",0.0161,"1,24,545.39",0.1095,"56,218.14",0.0383,"49,983.35",0.0306,"47,863.89",0.0251,"41,720.33",0.022,"41,691.49",0.0243,392.31,0.0002,192.78,0.0001,"2,100.41",0.0009,637.17,0.0003,506976.48,0.2348,1.21,0,"4,69,823.99",0.1297,"4,05,194.00",0.112,0.05,0,436.63,0.0003,365.94,0.0003,"14,939.94",0.0089,"1,375.63",0.0006,795.95,0.0003,0.16,0,"1,589.85",0.0006,23.1,0,400.09,0.0002,3.48,0,20.48,0,404.15,0.0001,983.59,0.0003,"6,53,834.72",0.143,"12,01,664.09",0.209,219.44,0,"17,83,439.69","18,77,057.24","-93,617.55",110415.1318,99079.98278,0.021388235,0.042811111
69,ETHIOPIA,"1,14,291.89",0.1359,"1,20,614.28",0.1426,18.02,0,"2,24,165.33",0.1529,"4,08,162.58",0.2497,"4,95,038.09",0.2599,"4,79,183.79",0.2527,"5,19,816.45",0.3029,"35,176.97",0.019,"34,974.99",0.0179,"42,447.78",0.0184,"39,403.43",0.0178,199.94,0.0001,200.44,0.0001,0.58,0,405194,0.112,133.72,0.0002,11.64,0,29.25,0,619.61,0.0004,19.1,0,795.95,0.0003,"1,148.75",0.0004,39.86,0,243.76,0.0001,"6,79,193.12",0.2635,314.67,0.0001,498.52,0.0001,"4,42,606.24",0.1317,"5,27,809.69",0.181,245.14,0.0001,"1,427.96",0.0002,"51,64,174.60",0.9233,"29,19,022.28","68,19,177.86","-39,00,155.58",401128.1094,162167.9044,0.088305882,0.09345
70,FALKLAND IS,42.67,0.0001,17.55,0,343.6,0.0003,690.21,0.0005,0.67,0,495038.09,0.2599,479183.79,0.2527,1.97,0,"1,80,917.09",0.0978,"1,82,125.90",0.0931,"1,79,002.73",0.0776,"1,90,270.93",0.0857,"34,682.93",0.0161,"43,254.29",0.0137,289.21,0.0001,"4,916.52",0.0014,"12,083.24",0.0193,325.99,0.0002,638.2,0.0005,"3,323.77",0.002,"1,194.01",0.0005,753.5,0.0003,"6,42,189.88",0.2365,"1,112.89",0.0004,"6,55,012.19",0.263,978.15,0.0004,"9,02,266.44",0.3007,"7,79,505.34",0.2169,"2,017.21",0.0006,962.65,0.0003,824.72,0.0002,407.4,0.0001,"2,63,987.44",0.0472,"18,02,861.39","32,55,499.78","-14,52,638.39",191499.9871,100158.9661,0.062929412,0.051016667
71,FAROE IS.,27.29,0,68.13,0.0001,"12,983.10",0.0114,418.01,0.0003,799.08,0.0005,"1,853.99",0.001,"1,576.21",0.0008,"1,146.26",0.0007,987.2,0.0005,"1,408.40",0.0007,"1,324.47",0.0006,691.09,0.0003,"2,10,473.53",0.0975,"2,56,689.24",0.0816,"64,389.10",0.0178,"63,153.55",0.0174,"78,370.72",0.1253,"5,57,769.67",0.4058,"4,78,772.54",0.3511,"1,355.23",0.0008,"10,09,484.39",0.4304,"6,00,537.79",0.225,"1,529.24",0.0006,"5,59,980.29",0.2046,777.34,0.0003,7.8,0,550.71,0.0002,"1,284.66",0.0004,38.01,0,54.48,0,"43,05,326.35",0.9415,"50,01,864.68",0.8699,"34,261.13",0.0061,"6,96,359.37","1,25,53,594.31","-1,18,57,234.94",738446.7241,38686.63167,0.202158824,0.019805556
72,FIJI IS,"39,679.98",0.0472,"12,645.99",0.015,"1,16,002.55",0.102,"17,505.01",0.0119,"22,343.32",0.0137,"29,510.74",0.0155,"30,336.16",0.016,"28,799.37",0.0168,"2,777.12",0.0015,"4,098.15",0.0021,"3,812.69",0.0017,"4,274.12",0.0019,"1,312.45",0.0006,"1,549.08",0.0005,"4,27,960.11",0.1182,"4,82,563.32",0.1333,298.8,0.0005,"2,527.82",0.0018,288.34,0.0002,"7,52,769.42",0.4472,"50,707.01",0.0216,742.44,0.0003,14.1,0,871.14,0.0003,16.24,0,7.8,  ,46.58,0,7.09,0,"43,66,095.61",1.2991,"32,16,077.19",1.1029,"7,95,744.50",0.174,"3,15,037.28",0.0548,"83,591.87",0.0149,"12,25,468.96","95,84,544.43","-83,59,075.47",563796.7312,68081.60889,0.19481875,0.027688889
73,FINLAND,"1,20,559.43",0.1434,"98,365.49",0.1163,"1,635.00",0.0014,"1,51,226.31",0.1032,"1,72,482.58",0.1055,"2,52,902.72",0.1328,"2,01,776.65",0.1064,"1,62,884.62",0.0949,"35,17,869.78",1.9021,"31,58,610.39",1.6144,"36,57,423.29",1.5849,"36,11,160.07",1.6268,"4,177.05",0.0019,"6,878.45",0.0022,"1,208.28",0.0003,"1,217.70",0.0003,"1,397.31",0.0022,44.78,0,0.01,0,96.7,0.0001,11.91,0,7.89,0,15.9,0,16.69,0,17.92,0,"38,26,374.09",1.4844,"42,03,232.80",1.4006,"46,59,809.26",1.2963,"97,829.22",0.0291,"2,99,620.39",0.1028,"32,403.69",0.0071,"40,945.40",0.0071,"1,34,63,754.20",2.4073,"1,51,21,775.12","2,66,24,180.85","-1,15,02,405.73",1566128.285,840098.6178,0.396164706,0.418833333
74,FR GUIANA,"17,546.61",0.0209,"1,088.04",0.0013,490.54,0.0004,760.63,0.0005,"1,814.16",0.0011,"21,947.98",0.0115,"36,415.12",0.0192,764.53,0.0004,"29,042.78",0.0157,"29,071.83",0.0149,"38,644.55",0.0167,"32,205.75",0.0145,"35,32,921.78",1.6363,"49,60,509.68",1.5763,"8,154.39",0.0023,"9,931.19",0.0027,"14,11,936.44",2.257,1.92,0,0.01,  ,4.96,0,11.91,  ,12.25,0,"22,33,134.10",0.8224,16.69,  ,"24,42,014.05",0.9806,"46,622.20",0.0181,"2,54,712.03",0.0849,"3,19,302.77",0.0888,"28,898.24",0.0086,"28,516.31",0.0098,"1,47,474.58",0.0323,"1,34,976.80",0.0235,"11,71,734.81",0.2095,"1,01,33,246.00","68,07,433.63","33,25,812.37",400437.2724,562958.1111,0.16275,0.31065
75,FR POLYNESIA,587.01,0.0007,381.39,0.0005,1.05,0,"5,696.71",0.0039,964.36,0.0006,"1,704.13",0.0009,"1,883.67",0.001,"2,504.75",0.0015,"41,772.83",0.0226,"77,521.59",0.0396,"1,09,723.24",0.0475,"93,701.16",0.0422,"43,437.57",0.0201,"39,504.23",0.0126,"61,04,859.40",1.6857,"59,12,570.39",1.6336,"10,610.04",0.017,"21,16,519.65",1.5399,"19,82,887.29",1.454,4.15,0,"20,82,646.00",0.8879,"25,35,102.98",0.9498,"5,07,703.34",0.187,"27,03,005.36",0.9875,"69,135.71",0.0278,"28,957.26",0.0112,"37,795.06",0.0126,"31,578.68",0.0088,"8,078.39",0.0024,"63,839.42",0.0219,"1,11,54,751.82",2.4394,"1,33,53,136.31",2.3224,250.17,0,"1,24,47,423.52","3,66,75,391.59","-2,42,27,968.07",2157375.976,691523.5289,0.638388235,0.196111111
76,FR S ANT TR,0.78,0,0.36,0,"23,68,748.28",2.0834,8.56,0,3.09,0,1704.13,0.0009,1883.67,0.001,39.41,0,"60,884.38",0.0329,"49,774.00",0.0254,"77,356.21",0.0335,"58,758.25",0.0265,"95,729.82",0.0443,"1,14,076.56",0.0362,"64,736.71",0.0179,"60,125.70",0.0166,"17,034.23",0.0272,"76,962.53",0.056,"86,373.14",0.0633,"16,86,657.13",1.0019,"72,108.43",0.0307,"4,47,986.89",0.1678,"18,222.61",0.0067,"4,81,078.29",0.1758,"20,384.17",0.0082,"21,145.61",0.0082,"17,415.07",0.0058,"15,609.39",0.0043,"96,92,835.06",2.884,"1,01,10,482.47",3.4673,"11,15,516.41",0.2439,"15,19,982.11",0.2644,"7,29,890.98",0.1305,"29,70,864.14","2,61,12,650.29","-2,31,41,786.15",1536038.252,165048.0078,0.501105882,0.130322222
77,FRANCE,"13,77,671.15",1.6386,"17,99,941.28",2.1288,"17,069.33",0.015,"22,02,080.31",1.5021,"27,10,585.55",1.6585,"30,95,127.32",1.6247,"30,32,342.22",1.599,"30,32,612.40",1.7669,"48,15,370.00",2.6037,"55,99,363.47",2.8619,"62,20,062.92",2.6953,"58,72,261.72",2.6453,"73,551.05",0.0341,"1,22,136.50",0.0388,"98,596.46",0.0272,"1,45,448.63",0.0402,"29,442.81",0.0471,"12,492.60",0.0091,"13,959.19",0.0102,"1,41,203.42",0.0839,"18,672.00",0.008,"16,650.39",0.0062,"14,395.04",0.0053,"21,959.34",0.008,"15,996.15",0.0064,"77,70,441.21",3.0145,"85,70,020.47",2.8557,"1,06,13,052.41",2.9524,"12,49,958.46",0.3719,"10,17,266.42",0.3489,182.26,0,"57,270.45",0.01,"1,583.79",0.0003,"4,02,43,663.12","2,95,35,103.60","1,07,08,559.52",1737359.035,2235759.062,0.570047059,1.273733333
78,GABON,"9,922.00",0.0118,"11,760.52",0.0139,"18,947.24",0.0167,"22,704.69",0.0155,"29,505.18",0.0181,"32,120.14",0.0169,"26,027.15",0.0137,"24,165.80",0.0141,"4,56,585.83",0.2469,"4,09,801.94",0.2095,"5,00,679.01",0.217,"4,37,451.54",0.1971,"60,11,271.20",2.7842,"73,71,637.84",2.3424,"2,13,194.61",0.0589,"1,63,377.13",0.0451,"13,68,544.90",2.1876,"7,409.24",0.0054,"4,858.48",0.0036,"6,822.56",0.0041,"27,881.52",0.0119,"31,431.26",0.0118,"78,20,963.81",2.8802,"11,181.60",0.0041,"79,09,817.69",3.1762,"13,01,536.24",0.5049,"17,48,430.05",0.5826,"26,20,638.11",0.729,701.36,0.0002,334.89,0.0001,"2,23,671.69",0.0489,"9,49,094.27",0.1651,8.23,0,"1,71,07,696.72","2,26,64,781.00","-55,57,084.28",1333222.412,950427.5956,0.478123529,0.467188889
79,GAMBIA,"14,067.84",0.0167,"17,487.86",0.0207,"33,182.23",0.0292,"30,927.64",0.0211,"30,206.16",0.0185,"51,572.76",0.0271,"44,901.80",0.0237,"39,133.71",0.0228,"8,63,154.54",0.4667,"1,87,843.67",0.096,"4,01,793.41",0.1741,"4,44,136.74",0.2001,"6,37,869.04",0.2954,"8,26,935.60",0.2628,"81,39,690.83",2.2476,"81,45,946.67",2.2507,"1,59,631.92",0.2552,"54,92,241.61",3.996,"48,88,575.63",3.5847,"17,232.22",0.0102,"74,84,059.50",3.1909,"77,93,366.10",2.9198,"2,25,026.87",0.0829,"78,18,109.63",2.8564,"19,40,467.70",0.7792,"81,882.16",0.0318,3.64,0,22.36,0,"87,582.38",0.0261,"1,06,003.83",0.0364,223671.69,  ,138.13,0,11.02,0,"2,00,68,482.42","3,61,58,394.47","-1,60,89,912.05",2126964.381,1114915.69,1.09465,0.357133333
